Species	Gene	Gene_symbol	Start	End	Strand	Class	gene_family_symbol	in_palindrome	palindrome_name
PanTro	chondrosarcoma-associated gene 2/3 protein-like	LOC107972767	150209304	150215675	-	AMPLICONIC	CSAG1	no	
PanTro	MAGE family member A12	MAGEA12	150215617	150222878	+	AMPLICONIC	MAGEB18	no	
PanTro	MAGE family member A2	MAGEA2	150231405	150235444	-	AMPLICONIC	MAGEB18	yes	Q23B
PanTro	chondrosarcoma-associated gene 2/3 protein	LOC129138662	150235401	150241737	+	AMPLICONIC	CSAG1	yes	Q23B
PanTro	MAGE family member A6	MAGEA6	150247684	150251273	-	AMPLICONIC	MAGEB18	yes	Q23B
PanTro	PNMA family member 5	PNMA5	150475989	150481472	-	ANCESTRAL	PNMA6E	no	
PanTro	PNMA family member 3	PNMA3	150544563	150548588	+	ANCESTRAL	PNMA6E	no	
PanTro	PNMA family member 6A	LOC107971234	150560596	150562665	+	AMPLICONIC	PNMA6E	yes	Q24B
PanTro	paraneoplastic antigen-like protein 6B	LOC107971235	150563251	150566242	-	AMPLICONIC	PNMA6E	yes	Q24B
PanTro	PWWP domain-containing DNA repair factor 4-like	LOC104004025	150591683	150603201	-	AMPLICONIC	PWWP4	yes	Q25A
PanTro	MAGE family member A1	MAGEA1	150641418	150646024	+	ANCESTRAL	MAGEB18	no	
PanTro	PWWP domain-containing DNA repair factor 4-like	LOC129138658	150729381	150740922	+	AMPLICONIC	PWWP4	yes	Q25B
PanTro	PNMA family member 6F	PNMA6F	150782359	150786781	-	ANCESTRAL	PNMA6E	no	
PanTro	PNMA family member 6E	PNMA6E	150861374	150879807	-	ANCESTRAL	PNMA6E	no	
PanTro	long-wave-sensitive opsin 1	LOC129138866	151607679	151622506	+	ANCESTRAL	OPN1LW	no	
PanTro	testis-specific protein TEX28	LOC129135380	151622685	151644279	-	ANCESTRAL	TEX28	no	
PanTro	opsin 1, long wave sensitive	OPN1LW	151646684	151661334	+	ANCESTRAL	OPN1LW	no	
PanTro	testis expressed 28	TEX28	151661509	151686839	-	ANCESTRAL	TEX28	no	
PanTro	L antigen family member 3	LAGE3	151869705	151871244	-	ANCESTRAL	LAGE3	no	
PanTro	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	IKBKG	151932904	151960368	+	AMPLICONIC	IKBKG	yes	Q27A
PanTro	cancer/testis antigen 1	LOC100615588	151976923	151978604	+	AMPLICONIC	LAGE3	yes	Q27A
PanTro	cancer/testis antigen 1	LOC129135315	152009408	152011089	-	AMPLICONIC	LAGE3	yes	Q27B
PanTro	NF-kappa-B essential modulator	LOC100610002	152027601	152040240	-	AMPLICONIC	IKBKG	yes	Q27B
PanTro	cancer/testis antigen 2	LOC465964	152043702	152045327	-	ANCESTRAL	LAGE3	no	
PanTro	coagulation factor VIII	F8	152232732	152422057	-	ANCESTRAL	F8A2	no	
PanTro	H2A.B variant histone 1	H2AB1	152281281	152281917	+	ANCESTRAL	H2AB3	no	
PanTro	coagulation factor VIII associated 1	F8A1	152282747	152284430	+	ANCESTRAL	F8A2	no	
PanTro	H2A.B variant histone 3	H2AB3	152765358	152765941	+	AMPLICONIC	H2AB3	yes	Q28.2A
PanTro	40-kDa huntingtin-associated protein	LOC112204046	152766768	152768451	+	AMPLICONIC	F8A2	no	
PanTro	40-kDa huntingtin-associated protein	LOC104004037	152841516	152843329	-	AMPLICONIC	F8A2	yes	Q28.2B
PanTro	H2A.B variant histone 2	H2AB2	152844026	152844604	-	AMPLICONIC	H2AB3	yes	Q28.2B
HomSap	protein kinase cAMP-dependent X-linked catalytic subunit	PRKX	3218669	3333048	-	ANCESTRAL	TBL1X	no	
HomSap	transducin beta like 1 X-linked	TBL1X	9045885	9302376	+	ANCESTRAL	TBL1X	no	
HomSap	thymosin beta 4 X-linked	TMSB4X	12556537	12558650	+	ANCESTRAL	TMSB15B	no	
HomSap	MAGE family member B17	MAGEB17	15750384	15754369	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B18	MAGEB18	25725680	25728073	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B5	MAGEB5	25803479	25805580	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B10	MAGEB10	27398790	27413814	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B2	MAGEB2	29807905	29812440	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B3	MAGEB3	29823006	29829848	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B4	MAGEB4	29834351	29836538	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B1	MAGEB1	29836082	29844392	+	ANCESTRAL	MAGEB18	no	
HomSap	MAGE family member B16	MAGEB16	35394326	35399316	+	ANCESTRAL	MAGEB18	no	
HomSap	sperm acrosome associated 5	SPACA5	47414513	47419909	+	ANCESTRAL	SPACA5	no	
HomSap	SSX family member 1	SSX1	47664400	47676453	+	AMPLICONIC	SSX4B	no	
HomSap	SSX family member 3	SSX3	47755403	47765669	-	AMPLICONIC	SSX4B	no	
HomSap	G antigen 10	GAGE10	48715506	48731705	+	ANCESTRAL	GAGE1	no	
HomSap	PAGE family member 1	PAGE1	49003279	49011889	-	ANCESTRAL	GAGE1	no	
HomSap	PAGE family member 4	PAGE4	49145174	49150178	+	ANCESTRAL	GAGE1	no	
HomSap	centromere protein V like 3	CENPVL3	50888246	50890138	-	ANCESTRAL	CENPVL2	no	
HomSap	MAGE family member D1	MAGED1	51074768	51174050	+	ANCESTRAL	MAGED1	no	
HomSap	MAGE family member D4	MAGED4	51456587	51463967	+	AMPLICONIC	MAGED1	yes	Q3B
HomSap	X antigen family member 2	XAGE2	51640755	51647414	+	ANCESTRAL	GAGE1	no	
HomSap	SPANX family member N5	SPANXN5	52081055	52082338	-	AMPLICONIC	SPANXA1	no	
HomSap	X antigen family member 5	XAGE5	52096193	52103207	+	AMPLICONIC	GAGE1	no	
HomSap	X antigen family member 3	XAGE3	52147439	52153059	-	AMPLICONIC	GAGE1	no	
HomSap	family with sequence similarity 156 member B	FAM156B	52176499	52193446	+	AMPLICONIC	FAM156B	yes	Q6A
HomSap	family with sequence similarity 156 member A	FAM156A	52231792	52279984	-	AMPLICONIC	FAM156B	yes	Q6B
HomSap	MAGE family member D2	MAGED2	54098628	54106898	+	ANCESTRAL	MAGED1	no	
HomSap	trophinin	TRO	54213910	54224559	+	ANCESTRAL	MAGED1	no	
HomSap	PAGE family member 2B	PAGE2B	54321243	54372032	+	ANCESTRAL	GAGE1	no	
HomSap	PAGE family member 5	PAGE5	54513490	54517252	+	ANCESTRAL	GAGE1	no	
HomSap	PAGE family member 3	PAGE3	54551564	54558062	-	ANCESTRAL	GAGE1	no	
HomSap	spindlin family member 3	SPIN3	56273946	56294627	-	ANCESTRAL	SPIN2A	no	
HomSap	zinc finger X-linked duplicated A	ZXDA	57205099	57210129	-	ANCESTRAL	ZXDA	no	
HomSap	spindlin family member 4	SPIN4	61772497	61776601	-	ANCESTRAL	SPIN2A	no	
HomSap	DMRT like family C1B	DMRTC1B	71210370	71282297	+	AMPLICONIC	DMRTC1B	yes	Q10A
HomSap	poly(A) binding protein cytoplasmic 1 like 2A	PABPC1L2A	71510785	71513019	-	AMPLICONIC	PABPC1L2B	yes	Q11B
HomSap	poly(A) binding protein cytoplasmic 5	PABPC5	89886956	89890701	+	XTR	PABPC1L2B	no	
HomSap	ribosomal protein L36a	RPL36A	99835123	99840269	+	ANCESTRAL	RPL36A-HNRNPH2	no	
HomSap	armadillo repeat containing X-linked 1	ARMCX1	99995174	99999327	+	ANCESTRAL	ARMCX2	no	
HomSap	armadillo repeat containing X-linked 6	ARMCX6	100059755	100062630	-	ANCESTRAL	ARMCX2	no	
HomSap	armadillo repeat containing X-linked 3	ARMCX3	100067782	100072474	+	ANCESTRAL	ARMCX2	no	
HomSap	armadillo repeat containing X-linked 2	ARMCX2	100099916	100104489	-	ANCESTRAL	ARMCX2	no	
HomSap	t-complex 11 family, X-linked 2	TCP11X2	100904811	100916320	-	AMPLICONIC	TCP11X2	yes	Q12B
HomSap	thymosin beta 15A	TMSB15A	100958170	100961227	-	ANCESTRAL	TMSB15B	no	
HomSap	G protein-coupled receptor associated sorting protein 2	GPRASP2	101157397	101162682	+	ANCESTRAL	GPRASP2	no	
HomSap	G protein-coupled receptor associated sorting protein 1	GPRASP1	101096438	101104038	+	ANCESTRAL	GPRASP2	no	
HomSap	RAB40A like	RAB40AL	101382231	101383259	+	ANCESTRAL	RAB40A	no	
