Species	Gene	Gene_symbol	Start	End	Strand	Class	gene_family_symbol	in_palindrome	palindrome_name	cluster
PanTro	family with sequence similarity 156 member A	FAM156A	53001590	53018693	-	AMPLICONIC	FAM156B	yes	Q7B	FAM156B
PanTro	MAGE family member D2	MAGED2	54845594	54854048	+	ANCESTRAL	MAGED1	no		MAGED2
PanTro	trophinin	TRO	54960830	54971481	+	ANCESTRAL	MAGED1	no		TRO
PanTro	PAGE family member 2B	PAGE2B	55068051	55118986	+	ANCESTRAL	GAGE1	no		PAGE5
PanTro	putative G antigen family E member 3	LOC107966361	55129104	55133096	+	ANCESTRAL	GAGE1	no		PAGE5
PanTro	PAGE family member 5	PAGE5	55251591	55264438	+	ANCESTRAL	GAGE1	no		PAGE5
PanTro	PAGE family member 3	PAGE3	55304046	55309522	-	ANCESTRAL	GAGE1	no		PAGE3
PanTro	spindlin family member 3	SPIN3	56999351	57004060	-	ANCESTRAL	SPIN2A	no		SPIN3
PanTro	spindlin-2	LOC465663	57134129	57136010	-	ANCESTRAL	SPIN2A	no		SPIN2A
PanTro	spindlin-2	LOC107966555	57149745	57151783	-	ANCESTRAL	SPIN2A	no		SPIN2A
PanTro	zinc finger X-linked protein ZXDB	LOC473633	57634565	57640243	+	ANCESTRAL	ZXDA	no		ZXDA
PanTro	zinc finger X-linked duplicated A	ZXDA	57949264	57975663	-	ANCESTRAL	ZXDA	no		ZXDA
PanTro	spindlin family member 4	SPIN4	60922068	61264847	-	ANCESTRAL	SPIN2A	no		SPIN4
PanTro	uncharacterized protein CXorf49-like	LOC465705	69458890	69462940	-	AMPLICONIC	CXorf49B	no		CXorf49
PanTro	uncharacterized protein CXorf49	LOC100612947	69463281	69467414	+	AMPLICONIC	CXorf49B	no		CXorf49
PanTro	uncharacterized protein CXorf49	LOC737558	69510421	69514517	-	AMPLICONIC	CXorf49B	yes	Q10A	CXorf49
PanTro	uncharacterized protein CXorf49-like	LOC104003919	69514872	69516844	+	AMPLICONIC	CXorf49B	yes	Q10A	PanPan_PanTro_cluster1
PanTro	uncharacterized protein CXorf49-like	LOC129138871	69558624	69560697	-	AMPLICONIC	CXorf49B	yes	Q10B	PanPan_PanTro_cluster1
PanTro	chromosome X CXorf49B homolog	CXHXorf49B	69561060	69565047	+	AMPLICONIC	CXorf49B	yes	Q10B	CXorf49
PanTro	DMRT like family C1B	DMRTC1B	70576364	70648877	+	AMPLICONIC	DMRTC1B	yes	Q11A	DMRTC1
PanTro	protein FAM236A	LOC465714	70582373	70583196	-	AMPLICONIC	FAM236C	yes	Q11A	FAM236A
PanTro	doublesex- and mab-3-related transcription factor C1	LOC107966387	70673273	70744614	-	AMPLICONIC	DMRTC1B	yes	Q11B	DMRTC1
PanTro	protein FAM236A-like	LOC129135304	70738872	70739784	+	AMPLICONIC	FAM236C	yes	Q11B	FAM236B
PanTro	poly(A) binding protein cytoplasmic 1 like 2A	PABPC1L2A	70803905	70805954	+	AMPLICONIC	PABPC1L2B	no		PABPC1L2B
PanTro	polyadenylate-binding protein 1-like 2	LOC100615000	70876048	70878171	-	AMPLICONIC	PABPC1L2B	yes	Q12B	PABPC1L2B
PanTro	polyadenylate-binding protein 1-like	LOC129138687	72410867	72411524	-	ANCESTRAL	PABPC1L2B	no		PanPan_PanTro_cluster1
PanTro	poly(A) binding protein cytoplasmic 5	PABPC5	89027750	89032037	+	ANCESTRAL	PABPC1L2B	no		PABPC5
PanTro	ribosomal protein L36a	RPL36A	98958613	98963847	+	ANCESTRAL	RPL36A-HNRNPH2	no		RPL36A
PanTro	armadillo repeat containing X-linked 1	ARMCX1	99116159	99120468	+	ANCESTRAL	ARMCX2	no		ARMCX1
PanTro	protein ARMCX6-like	LOC107966492	99163183	99164400	+	ANCESTRAL	ARMCX2	no		GorGor_PanPan_PanTro_PonAbe_PonPyg_SymSyn_cluster1
PanTro	armadillo repeat containing X-linked 6	ARMCX6	99180795	99183690	-	ANCESTRAL	ARMCX2	no		ARMCX6
PanTro	armadillo repeat containing X-linked 3	ARMCX3	99188449	99193496	+	ANCESTRAL	ARMCX2	no		ARMCX3
PanTro	armadillo repeat containing X-linked 2	ARMCX2	99221037	99225663	-	ANCESTRAL	ARMCX2	no		ARMCX2
PanTro	nuclear RNA export factor 5	NXF5	99402299	99408959	-	ANCESTRAL	NXF2	no		NXF2
PanTro	T-complex protein 11-like X-linked protein 2	LOC107971184	99790158	99804437	+	AMPLICONIC	TCP11X2	yes	Q13A	TCP11X2
PanTro	nuclear RNA export factor 2	LOC735423	99804203	99916576	+	AMPLICONIC	NXF2	yes	Q13A	NXF2
PanTro	nuclear RNA export factor 2	LOC129138885	99956115	100068530	-	AMPLICONIC	NXF2	yes	Q13B	NXF2
PanTro	t-complex 11 family, X-linked 2	TCP11X2	100068298	100082575	-	AMPLICONIC	TCP11X2	yes	Q13B	TCP11X2
PanTro	thymosin beta 15A	TMSB15A	100124397	100127500	-	ANCESTRAL	TMSB15B	no		TMSB15A
PanTro	G protein-coupled receptor associated sorting protein 2	GPRASP2	100206520	100324659	+	ANCESTRAL	GPRASP2	no		GPRASP2
PanTro	G protein-coupled receptor associated sorting protein 1	GPRASP1	100256722	100264027	+	ANCESTRAL	GPRASP2	no		GPRASP1
PanTro	RAB40A like	RAB40AL	100376799	100794752	+	ANCESTRAL	RAB40A	no		RAB40A
PanTro	nuclear RNA export factor 3	NXF3	100683688	100701003	-	ANCESTRAL	NXF2	no		NXF3
PanTro	transcription elongation factor A like 8	TCEAL8	100865541	100867662	-	ANCESTRAL	TCEAL8	no		TCEAL8
PanTro	ras-related protein Rab-40A	LOC104003957	101111866	101129504	-	ANCESTRAL	RAB40A	no		RAB40A
PanTro	H2B.W histone 4	H2BW4	101481487	101484050	+	ANCESTRAL	H2BW2	no		H2BW1
PanTro	H2B.W histone 1	H2BW1	101519782	101520519	-	ANCESTRAL	H2BW2	no		H2BW1_2
PanTro	thymosin beta-15A	LOC104001050	101533276	101537031	-	ANCESTRAL	TMSB15B	no		TMSB15A
PanTro	H2B.W histone 2	H2BW2	101541825	101542888	+	ANCESTRAL	H2BW2	no		H2BW2_2
PanTro	thymosin beta-15A	LOC107971086	101575609	101579227	-	ANCESTRAL	TMSB15B	no		TMSB15C
PanTro	cancer/testis antigen family 47 member C1	CT47C1	116575772	116579496	+	ANCESTRAL	CT47C1	no		CT47C1
PanTro	rhox homeobox family member 2	LOC129135292	117610678	117616535	-	AMPLICONIC	RHOXF2B	yes	Q15.3A	RHOXF2
PanTro	rhox homeobox family member 2	LOC129138611	117704866	117710723	+	AMPLICONIC	RHOXF2B	yes	Q15.4B	RHOXF2
PanTro	rhox homeobox family member 2	LOC107966504	117770172	117775919	+	AMPLICONIC	RHOXF2B	yes	Q15.3B	RHOXF2
PanTro	cancer/testis antigen family 47 member B1	LOC465839	118487005	118490601	-	ANCESTRAL	CT47C1	no		CT47B1
PanTro	cancer/testis antigen 47A	LOC112206860	118490146	118492709	-	ANCESTRAL	CT47C1	no		PanPan_PanTro_cluster1
PanTro	cancer/testis antigen 47A	LOC738115	118493966	118497604	-	ANCESTRAL	CT47C1	no		CT47A4
PanTro	small integral membrane protein 10	SMIM10	132457990	132459575	+	ANCESTRAL	SMIM10L2A	no		SMIM10
PanTro	small integral membrane protein 10 like 2B	SMIM10L2B	132560593	132564349	-	ANCESTRAL	SMIM10L2A	no		SMIM10L2A
PanTro	embryonic testis differentiation homolog B	ETDB	132585723	132587325	-	AMPLICONIC	ETDA	yes	Q16A	ETDB
PanTro	embryonic testis differentiation protein homolog B	LOC129138847	132718820	132720450	+	AMPLICONIC	ETDA	yes	Q16B	ETDA
PanTro	embryonic testis differentiation protein homolog C	LOC112206982	132772780	132773211	+	ANCESTRAL	ETDA	no		PanPan_PanTro_cluster1
PanTro	small integral membrane protein 10 like 2A	SMIM10L2A	132885948	132886501	+	ANCESTRAL	SMIM10L2A	no		SMIM10L2A
PanTro	integrator complex subunit 6 like	INTS6L	132984475	133046327	+	ANCESTRAL	SAGE1	no		INTS6L
PanTro	sarcoma antigen 1-like	LOC100608305	133060374	133082506	+	ANCESTRAL	SAGE1	no		PanPan_PanTro_cluster1
PanTro	putative SAGE1-like protein	LOC107971063	133137289	133143351	-	ANCESTRAL	SAGE1	no		PanPan_PanTro_PonAbe_PonPyg_cluster1
PanTro	sarcoma antigen 1	LOC129135417	133217635	133240495	-	AMPLICONIC	SAGE1	yes	Q17A	SAGE1
PanTro	cancer/testis antigen family 45 member A10	LOC738391	133237107	133249648	+	AMPLICONIC	CT45A8	yes	Q17A	CT45A3
PanTro	cancer/testis antigen family 45 member A6	LOC129138625	133258831	133266916	+	AMPLICONIC	CT45A8	yes	Q17A	CT45A3
PanTro	cancer/testis antigen family 45 member A6	LOC465877	133303782	133311827	-	AMPLICONIC	CT45A8	yes	Q17B	CT45A3
PanTro	cancer/testis antigen family 45 member A10	LOC107973088	133321050	133333603	-	AMPLICONIC	CT45A8	yes	Q17B	CT45A3
PanTro	sarcoma antigen 1	SAGE1	133330386	133353071	+	AMPLICONIC	SAGE1	yes	Q17B	SAGE1
PanTro	putative MAGE domain-containing protein MAGEA13P	LOC107971121	135923932	135924984	+	ANCESTRAL	MAGEB18	no		GorGor_MacFas_PanPan_PanTro_PonAbe_PonPyg_cluster1
PanTro	uncharacterized LOC129138873	LOC129138873	136618000	136629176	+	ANCESTRAL	uncharacterized LOC129138873	no		
PanTro	SPANX A/D member 1	LOC493981	138307374	138308318	+	ANCESTRAL	SPANXA1	no		PanPan_PanTro_cluster2
PanTro	SPANX A/D member 2	SPANX-B	138525613	138526943	+	ANCESTRAL	SPANXA1	no		SPANX-B
PanTro	large ribosomal subunit protein eL42-like	LOC107971048	138660932	138661649	+	ANCESTRAL	RPL36A-HNRNPH2	no		GorGor_PanTro_SymSyn_cluster1
PanTro	sperm protein associated with the nucleus on the X chromosome C	LOC112206915	139182557	139183648	-	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster2
PanTro	MAGE family member C3	MAGEC3	139372965	139375193	+	ANCESTRAL	MAGEB18	no		MAGEC3
PanTro	MAGE family member C1	MAGEC1	139381335	139388533	+	ANCESTRAL	MAGEB18	no		MAGEC1
PanTro	MAGE family member C2	MAGEC2	139678440	139681930	-	ANCESTRAL	MAGEB18	no		MAGEC2
PanTro	sperm protein associated with the nucleus on the X chromosome N4	LOC740280	140491676	140500526	+	ANCESTRAL	SPANXA1	no		PanTro_cluster1
PanTro	SPANX family, member N3	SPANXN3	140963759	140972330	-	ANCESTRAL	SPANXA1	no		SPANXN2
PanTro	SPANX-N2	SPANXN2	141162107	141170482	-	ANCESTRAL	SPANXA1	no		SPANXN2
PanTro	SPANX family member N1	SPANXN1	142654374	142663402	+	ANCESTRAL	SPANXA1	no		SPANXN1
PanTro	chromosome X CXorf51B homolog	CXHXorf51B	144180636	144181299	+	AMPLICONIC	CXorf51B	yes	Q20A	CXorf51B
PanTro	chromosome X CXorf51A homolog	CXHXorf51A	144211965	144212629	-	Unknown	CXorf51B	no		CXorf51B
PanTro	endothelium and lymphocyte associated ASCH domain 1	EOLA1	146920534	146931067	+	AMPLICONIC	EOLA1	yes	Q21.1A	EOLA1_2
PanTro	heat shock transcription factor, X-linked member 3	LOC112204049	146928404	146930046	-	AMPLICONIC	HSFX3	yes	Q21.1A	HSFX4
PanTro	melanoma-associated antigen 8	LOC129138607	146976407	146981061	-	AMPLICONIC	MAGEB18	yes	Q21.2A	MAGEA8
PanTro	MAGE family member A9	LOC473817	147074614	147080422	-	AMPLICONIC	MAGEB18	yes	Q21.2A	MAGEA9
PanTro	melanoma-associated antigen 9	LOC129138623	147120578	147126413	-	AMPLICONIC	MAGEB18	yes	Q21.3A	MAGEA9
PanTro	MAGE family member A11	MAGEA11	147191876	147197151	+	AMPLICONIC	MAGEB18	no		MAGEA11
PanTro	transmembrane protein 185A	TMEM185A	147252146	147287569	+	AMPLICONIC	TMEM185A	no		TMEM185A
PanTro	heat shock transcription factor, X-linked	LOC473816	147287519	147291618	+	AMPLICONIC	HSFX3	yes	Q21.2B	HSFX2
PanTro	MAGE family member A9	MAGEA9	147296650	147302483	+	AMPLICONIC	MAGEB18	yes	Q21.2B	MAGEA9
PanTro	MAGE family member A8	MAGEA8	147396051	147400690	+	AMPLICONIC	MAGEB18	yes	Q21.2B	MAGEA8
PanTro	endothelium and lymphocyte associated ASCH domain 2	EOLA2	147445041	147455293	-	AMPLICONIC	EOLA1	yes	Q21.1B	EOLA2_2
PanTro	heat shock transcription factor, X-linked member 3	LOC104004022	147446062	147447704	+	AMPLICONIC	HSFX3	yes	Q21.1B	HSFX4
PanTro	MAGE family member A4	MAGEA4	149400437	149412358	+	ANCESTRAL	MAGEB18	no		MAGEA1
PanTro	MAGE family member A10	MAGEA10	149615510	149620751	-	ANCESTRAL	MAGEB18	no		MAGEA10
PanTro	melanoma-associated antigen 6	LOC107972766	150183422	150187098	+	AMPLICONIC	MAGEB18	yes	Q23A	MAGEA2
PanTro	MAGE family member A2B	MAGEA2B	150199327	150203366	+	AMPLICONIC	MAGEB18	yes	Q23A	MAGEA2
PanTro	chondrosarcoma-associated gene 2/3 protein-like	LOC107972767	150209304	150215675	-	AMPLICONIC	CSAG1	no		CSAG2
PanTro	MAGE family member A12	MAGEA12	150215617	150222878	+	AMPLICONIC	MAGEB18	no		MAGEA2
PanTro	MAGE family member A2	MAGEA2	150231405	150235444	-	AMPLICONIC	MAGEB18	yes	Q23B	MAGEA2
PanTro	chondrosarcoma-associated gene 2/3 protein	LOC129138662	150235401	150241737	+	AMPLICONIC	CSAG1	yes	Q23B	CSAG2
PanTro	MAGE family member A6	MAGEA6	150247684	150251273	-	AMPLICONIC	MAGEB18	yes	Q23B	MAGEA2
PanTro	PNMA family member 5	PNMA5	150475989	150481472	-	ANCESTRAL	PNMA6E	no		PNMA5
PanTro	PNMA family member 3	PNMA3	150544563	150548588	+	ANCESTRAL	PNMA6E	no		PNMA3
PanTro	PNMA family member 6A	LOC107971234	150560596	150562665	+	AMPLICONIC	PNMA6E	yes	Q24B	PNMA6A
PanTro	paraneoplastic antigen-like protein 6B	LOC107971235	150563251	150566242	-	AMPLICONIC	PNMA6E	yes	Q24B	PNMA6A
PanTro	PWWP domain-containing DNA repair factor 4-like	LOC104004025	150591683	150603201	-	AMPLICONIC	PWWP4	yes	Q25A	PanPan_PanTro_cluster1
PanTro	MAGE family member A1	MAGEA1	150641418	150646024	+	ANCESTRAL	MAGEB18	no		MAGEA1
PanTro	PWWP domain-containing DNA repair factor 4-like	LOC129138658	150729381	150740922	+	AMPLICONIC	PWWP4	yes	Q25B	PanPan_PanTro_cluster1
PanTro	PNMA family member 6F	PNMA6F	150782359	150786781	-	ANCESTRAL	PNMA6E	no		PNMA6F
PanTro	PNMA family member 6E	PNMA6E	150861374	150879807	-	ANCESTRAL	PNMA6E	no		PNMA6E
PanTro	long-wave-sensitive opsin 1	LOC129138866	151607679	151622506	+	ANCESTRAL	OPN1LW	no		OPN1MW
PanTro	testis-specific protein TEX28	LOC129135380	151622685	151644279	-	ANCESTRAL	TEX28	no		TEX28
PanTro	opsin 1, long wave sensitive	OPN1LW	151646684	151661334	+	ANCESTRAL	OPN1LW	no		OPN1MW
PanTro	testis expressed 28	TEX28	151661509	151686839	-	ANCESTRAL	TEX28	no		TEX28
PanTro	L antigen family member 3	LAGE3	151869705	151871244	-	ANCESTRAL	LAGE3	no		LAGE3
PanTro	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	IKBKG	151932904	151960368	+	AMPLICONIC	IKBKG	yes	Q27A	IKBKG
PanTro	cancer/testis antigen 1	LOC100615588	151976923	151978604	+	AMPLICONIC	LAGE3	yes	Q27A	CTAG2
PanTro	cancer/testis antigen 1	LOC129135315	152009408	152011089	-	AMPLICONIC	LAGE3	yes	Q27B	CTAG2
PanTro	NF-kappa-B essential modulator	LOC100610002	152027601	152040240	-	AMPLICONIC	IKBKG	yes	Q27B	IKBKG
PanTro	cancer/testis antigen 2	LOC465964	152043702	152045327	-	ANCESTRAL	LAGE3	no		GorGor_PanPan_PanTro_PonAbe_PonPyg_cluster1
PanTro	coagulation factor VIII	F8	152232732	152422057	-	ANCESTRAL	F8A2	no		F8
PanTro	H2A.B variant histone 1	H2AB1	152281281	152281917	+	ANCESTRAL	H2AB3	no		H2AB1
PanTro	coagulation factor VIII associated 1	F8A1	152282747	152284430	+	ANCESTRAL	F8A2	no		F8A3
PanTro	H2A.B variant histone 3	H2AB3	152765358	152765941	+	AMPLICONIC	H2AB3	yes	Q28.2A	H2AB1
PanTro	40-kDa huntingtin-associated protein	LOC112204046	152766768	152768451	+	AMPLICONIC	F8A2	no		F8A3
PanTro	40-kDa huntingtin-associated protein	LOC104004037	152841516	152843329	-	AMPLICONIC	F8A2	yes	Q28.2B	F8A3
PanTro	H2A.B variant histone 2	H2AB2	152844026	152844604	-	AMPLICONIC	H2AB3	yes	Q28.2B	H2AB1
HomSap	protein kinase cAMP-dependent X-linked catalytic subunit	PRKX	3218669	3333048	-	ANCESTRAL	TBL1X	no		PRKX
HomSap	transducin beta like 1 X-linked	TBL1X	9045885	9302376	+	ANCESTRAL	TBL1X	no		TBL1X
HomSap	thymosin beta 4 X-linked	TMSB4X	12556537	12558650	+	ANCESTRAL	TMSB15B	no		TMSB4X
HomSap	MAGE family member B17	MAGEB17	15750384	15754369	+	ANCESTRAL	MAGEB18	no		MAGEB17
HomSap	MAGE family member B18	MAGEB18	25725680	25728073	+	ANCESTRAL	MAGEB18	no		MAGEB18
HomSap	MAGE family member B5	MAGEB5	25803479	25805580	+	ANCESTRAL	MAGEB18	no		MAGEB5
HomSap	MAGE family member B10	MAGEB10	27398790	27413814	+	ANCESTRAL	MAGEB18	no		MAGEB10
HomSap	MAGE family member B2	MAGEB2	29807905	29812440	+	ANCESTRAL	MAGEB18	no		MAGEB2
HomSap	MAGE family member B3	MAGEB3	29823006	29829848	+	ANCESTRAL	MAGEB18	no		MAGEB3
HomSap	MAGE family member B4	MAGEB4	29834351	29836538	+	ANCESTRAL	MAGEB18	no		MAGEB4
HomSap	MAGE family member B1	MAGEB1	29836082	29844392	+	ANCESTRAL	MAGEB18	no		MAGEB1
HomSap	MAGE family member B16	MAGEB16	35394326	35399316	+	ANCESTRAL	MAGEB18	no		MAGEB16
HomSap	sperm acrosome associated 5	SPACA5	47414513	47419909	+	ANCESTRAL	SPACA5	no		SPACA5
HomSap	SSX family member 1	SSX1	47664400	47676453	+	AMPLICONIC	SSX4B	no		SSX3
HomSap	SSX family member 3	SSX3	47755403	47765669	-	AMPLICONIC	SSX4B	no		SSX3
HomSap	G antigen 10	GAGE10	48715506	48731705	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	PAGE family member 1	PAGE1	49003279	49011889	-	ANCESTRAL	GAGE1	no		PAGE1
HomSap	PAGE family member 4	PAGE4	49145174	49150178	+	ANCESTRAL	GAGE1	no		PAGE4
HomSap	centromere protein V like 3	CENPVL3	50888246	50890138	-	ANCESTRAL	CENPVL2	no		CENPVL3
